query,disease,advice
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
I have chest pain and cough for weeks,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Fever and chronic fatigue,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Persistent cough with blood,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Night sweats and weight loss,Tuberculosis,Take prescribed antibiotics for the full course and isolate.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Cough with phlegm and fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Shortness of breath and chest pain,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
I feel weak and have a high fever,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Chills and productive cough,Pneumonia,Take antibiotics and rest; see a doctor if symptoms worsen.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Loss of appetite and high temperature,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
Prolonged fever and abdominal pain,Typhoid,Take antibiotics and maintain hydration and rest.
Diarrhea and rash,Typhoid,Take antibiotics and maintain hydration and rest.
I feel very weak and have a headache,Typhoid,Take antibiotics and maintain hydration and rest.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Rashes and bleeding gums,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
Muscle pain and nausea,Dengue,Stay hydrated and rest; avoid mosquito bites.
Headache and pain behind the eyes,Dengue,Stay hydrated and rest; avoid mosquito bites.
High fever and severe joint pain,Dengue,Stay hydrated and rest; avoid mosquito bites.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
I feel weak after recurring fever,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Sweating and vomiting,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
High fever with chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Headache and shaking chills,Malaria,Take antimalarial drugs and prevent mosquito exposure.
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Spots on skin that become blisters,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Rashes and blisters all over my body,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Itchy red spots and fever,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Fatigue and loss of appetite,Chickenpox,"Rest, avoid scratching, and use calamine lotion for relief."
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Pain in the upper right abdomen,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Loss of appetite and nausea,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Yellowing of skin and eyes,Jaundice,Avoid fatty foods and get adequate rest and hydration.
Dark urine and fatigue,Jaundice,Avoid fatty foods and get adequate rest and hydration.
